respondent number,task number,task text,device frame,display time,time taken,file name,T1Q1: What is the company’s name?,T1Q2: Describe the page you saw in your own words in as much detail as you can recall. What was it made up of? What did it look like?,T1Q3: Which word in this pair describes this web page more appropriately?,T1Q4: Which word in this pair describes this web page more appropriately?,T2Q1: What is the company’s name?,T2Q2: What does this web page provide or sell?,T2Q3: What animal is on the clothes of the person in the dominant/biggest picture on the web page?,T2Q4: Describe the page you saw in your own words in as much detail as you can recall. What was it made up of? What did it look like?,T2Q5: Which word in this pair describes this web page more appropriately?,T2Q6: Which word in this pair describes this web page more appropriately?,T2Q7: Which word in this pair describes this web page more appropriately?,T2Q8: Which word in this pair describes this web page more appropriately?,T2Q9: Which word in this pair describes this web page more appropriately?,T2Q10: Which word in this pair describes this web page more appropriately?,T2Q11: Which word in this pair describes this web page more appropriately?,T2Q12: Which word in this pair describes this web page more appropriately?,T2Q13: Which word in this pair describes this web page more appropriately?,T2Q14: Which word in this pair describes this web page more appropriately?,T2Q15: Were you familiar with this website? Have you seen it before?,T3Q1: What is the company’s name?,T3Q2: What does this web page provide or sell?,T3Q3: How many children are in the dominant/biggest picture on the web page?,T3Q4: Describe the page you saw in your own words in as much detail as you can recall. What was it made up of? What did it look like?,T3Q5: Which word in this pair describes this web page more appropriately?,T3Q6: Which word in this pair describes this web page more appropriately?,T3Q7: Which word in this pair describes this web page more appropriately?,T3Q8: Which word in this pair describes this web page more appropriately?,T3Q9: Which word in this pair describes this web page more appropriately?,T3Q10: Which word in this pair describes this web page more appropriately?,T3Q11: Which word in this pair describes this web page more appropriately?,T3Q12: Which word in this pair describes this web page more appropriately?,T3Q13: Which word in this pair describes this web page more appropriately?,T3Q14: Which word in this pair describes this web page more appropriately?,T3Q15: Were you familiar with this website? Have you seen it before?,T4Q1: What is the company’s name?,T4Q2: What does this web page provide or sell?,T4Q3: From what year is the offer in the dominant/biggest picture on the web page?,T4Q4: Describe the page you saw in your own words in as much detail as you can recall. What was it made up of? What did it look like?,T4Q5: Which word in this pair describes this web page more appropriately?,T4Q6: Which word in this pair describes this web page more appropriately?,T4Q7: Which word in this pair describes this web page more appropriately?,T4Q8: Which word in this pair describes this web page more appropriately?,T4Q9: Which word in this pair describes this web page more appropriately?,T4Q10: Which word in this pair describes this web page more appropriately?,T4Q11: Which word in this pair describes this web page more appropriately?,T4Q12: Which word in this pair describes this web page more appropriately?,T4Q13: Which word in this pair describes this web page more appropriately?,T4Q14: Which word in this pair describes this web page more appropriately?,T4Q15: Were you familiar with this website? Have you seen it before?,T5Q1: What is the company’s name?,T5Q2: What does this web page provide or sell?,T5Q3: Which day of the week is the website providing information for?,T5Q4: Describe the page you saw in your own words in as much detail as you can recall. What was it made up of? What did it look like?,T5Q5: Which word in this pair describes this web page more appropriately?,T5Q6: Which word in this pair describes this web page more appropriately?,T5Q7: Which word in this pair describes this web page more appropriately?,T5Q8: Which word in this pair describes this web page more appropriately?,T5Q9: Which word in this pair describes this web page more appropriately?,T5Q10: Which word in this pair describes this web page more appropriately?,T5Q11: Which word in this pair describes this web page more appropriately?,T5Q12: Which word in this pair describes this web page more appropriately?,T5Q13: Which word in this pair describes this web page more appropriately?,T5Q14: Which word in this pair describes this web page more appropriately?,T5Q15: Were you familiar with this website? Have you seen it before?,T6Q1: What is the company’s name?,T6Q2: What does this web page provide or sell?,T6Q3: What symbols are printed on the cardboard box in the dominant/biggest picture on the web page?,T6Q4: Describe the page you saw in your own words in as much detail as you can recall. What was it made up of? What did it look like?,T6Q5: Which word in this pair describes this web page more appropriately?,T6Q6: Which word in this pair describes this web page more appropriately?,T6Q7: Which word in this pair describes this web page more appropriately?,T6Q8: Which word in this pair describes this web page more appropriately?,T6Q9: Which word in this pair describes this web page more appropriately?,T6Q10: Which word in this pair describes this web page more appropriately?,T6Q11: Which word in this pair describes this web page more appropriately?,T6Q12: Which word in this pair describes this web page more appropriately?,T6Q13: Which word in this pair describes this web page more appropriately?,T6Q14: Which word in this pair describes this web page more appropriately?,T6Q15: Were you familiar with this website? Have you seen it before?,T7Q1: What is the company’s name?,T7Q2: What does this web page provide or sell?,T7Q3: Describe what is in the background in the dominant/biggest picture on the web page.,T7Q4: Describe the page you saw in your own words in as much detail as you can recall. What was it made up of? What did it look like?,T7Q5: Which word in this pair describes this web page more appropriately?,T7Q6: Which word in this pair describes this web page more appropriately?,T7Q7: Which word in this pair describes this web page more appropriately?,T7Q8: Which word in this pair describes this web page more appropriately?,T7Q9: Which word in this pair describes this web page more appropriately?,T7Q10: Which word in this pair describes this web page more appropriately?,T7Q11: Which word in this pair describes this web page more appropriately?,T7Q12: Which word in this pair describes this web page more appropriately?,T7Q13: Which word in this pair describes this web page more appropriately?,T7Q14: Which word in this pair describes this web page more appropriately?,T7Q15: Were you familiar with this website? Have you seen it before?
2,1,<b>This is just a warm-up task</b> for the following activity<b>. </b><div><b><br /></b><div>Please<b> look</b> at the following website design<b> for 10 seconds</b> and <b>try to remember as much</b> as possible. The design will disappear automatically. We will then ask you some questions.</div></div>,None,10,58,DEMO.png,Fair shop,"Clothing, shoes, 50% off sale",4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,Please<b> look</b> at the following website design <b>for 10 seconds</b> and try to <b>remember as much</b> as possible. We will then ask you some questions.,None,10,244,6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weathery,Weather forecasts,Don't know,Weather forecasts,4,4,5,4,5,4,4,5,3,4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Please<b> look</b> at the following website design <b>for 10 seconds</b> and try to <b>remember as much</b> as possible. We will then ask you some questions.,None,10,85,3.png,,,,,,,,,,,,,,,,,,,,I-Care,Gkasses,Don't know,"Sunglassess, prescription glasses",6,4,5,4,4,4,3,4,4,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Please<b> look</b> at the following website design <b>for 10 seconds</b> and try to <b>remember as much</b> as possible. We will then ask you some questions.,None,10,70,2.png,,,,,Whistles,Sustainable fashion,Don't know,"Mens, womens and childrens clothing",5,5,5,5,4,4,3,4,5,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,Please<b> look</b> at the following website design <b>for 10 seconds</b> and try to <b>remember as much</b> as possible. We will then ask you some questions.,None,10,65,9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tech live,News articles,Don't know,Can't remember,2,3,3,4,3,4,4,3,2,3,No
2,6,Please<b> look</b> at the following website design <b>for 10 seconds</b> and try to <b>remember as much</b> as possible. We will then ask you some questions.,None,10,67,8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mega zoo,Pet products,Paw prints,Pet products for sale,4,5,4,4,4,4,4,5,5,5,No,,,,,,,,,,,,,,,
2,4,Please<b> look</b> at the following website design <b>for 10 seconds</b> and try to <b>remember as much</b> as possible. We will then ask you some questions.,None,10,82,4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hill sport,Outdoor clothing and accessories,Can't recall,I can't remember anything except a picture of a tiger?,4,4,4,4,4,4,4,4,4,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,<b>This is just a warm-up task</b> for the following activity<b>. </b><div><b><br /></b><div>Please<b> look</b> at the following website design<b> for 10 seconds</b> and <b>try to remember as much</b> as possible. The design will disappear automatically. We will then ask you some questions.</div></div>,None,10,60,DEMO.png,goodfood,"sectioned off into different areas, pictures taking over the mian page, contact details on the top.",4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,Please<b> look</b> at the following website design <b>for 10 seconds</b> and try to <b>remember as much</b> as possible. We will then ask you some questions.,None,10,122,9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tech life,news website about technology and otehr updates,tanks with a windmill,pictures take over main area in the middle and articles in the side,6,5,3,4,3,6,4,4,3,4,No
3,2,Please<b> look</b> at the following website design <b>for 10 seconds</b> and try to <b>remember as much</b> as possible. We will then ask you some questions.,None,10,89,2.png,,,,,whistles,sustainable clothing,hedgehog,"not much detail, pictures mainly took over page",6,6,7,4,5,4,3,5,5,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Please<b> look</b> at the following website design <b>for 10 seconds</b> and try to <b>remember as much</b> as possible. We will then ask you some questions.,None,10,71,3.png,,,,,,,,,,,,,,,,,,,,dont know,glasses or contact lenses,2,"looking at holidays and making sure you are covered with your glasses, sunglasses or contacts",5,5,5,5,4,3,3,4,5,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
