,respondent,identifier,status,included,started_at,ip,device,os,browser,location,time_taken,questions_answered,tasks_completed,tasks_skipped,vmt_levels,vmt_clicks,pst_levels,pst_levels_correct,pst_clicks,input_device,age,gender,education,income,web_browsing,web_skill,att_check_1,similar_studies,note,att_check_2,interval
0,3,,completed,True,2022-09-30 14:21:47,,desktop,Windows,Edge,GB,48.0,99.0%,100.0%,0.0%,9.0,"[[{""type"": ""mouseDown"", ""time"": 868}, {""type"": ""mouseUp"", ""time"": 947}, {""type"": ""mouseDown"", ""time"": 1438}, {""type"": ""mouseUp"", ""time"": 1518}], [{""type"": ""mouseDown"", ""time"": 648}, {""type"": ""mouseUp"", ""time"": 722}, {""type"": ""mouseDown"", ""time"": 1171}, {""type"": ""mouseUp"", ""time"": 1237}, {""type"": ""mouseDown"", ""time"": 1675}, {""type"": ""mouseUp"", ""time"": 1726}], [{""type"": ""mouseDown"", ""time"": 1170}, {""type"": ""mouseUp"", ""time"": 1252}, {""type"": ""mouseDown"", ""time"": 1884}, {""type"": ""mouseUp"", ""time"": 1946}, {""type"": ""mouseDown"", ""time"": 2357}, {""type"": ""mouseUp"", ""time"": 2407}, {""type"": ""mouseDown"", ""time"": 2827}, {""type"": ""mouseUp"", ""time"": 2885}], [{""type"": ""mouseDown"", ""time"": 845}, {""type"": ""mouseUp"", ""time"": 919}, {""type"": ""mouseDown"", ""time"": 1371}, {""type"": ""mouseUp"", ""time"": 1432}, {""type"": ""mouseDown"", ""time"": 1856}, {""type"": ""mouseUp"", ""time"": 1918}, {""type"": ""mouseDown"", ""time"": 2461}, {""type"": ""mouseUp"", ""time"": 2516}, {""type"": ""mouseDown"", ""time"": 65973}, {""type"": ""mouseUp"", ""time"": 66053}], [{""type"": ""mouseDown"", ""time"": 697}, {""type"": ""mouseUp"", ""time"": 784}, {""type"": ""mouseDown"", ""time"": 1212}, {""type"": ""mouseUp"", ""time"": 1287}, {""type"": ""mouseDown"", ""time"": 2284}, {""type"": ""mouseUp"", ""time"": 2354}, {""type"": ""mouseDown"", ""time"": 2817}, {""type"": ""mouseUp"", ""time"": 2886}, {""type"": ""mouseDown"", ""time"": 3418}, {""type"": ""mouseUp"", ""time"": 3490}, {""type"": ""mouseDown"", ""time"": 3959}, {""type"": ""mouseUp"", ""time"": 4020}], [{""type"": ""mouseDown"", ""time"": 770}, {""type"": ""mouseUp"", ""time"": 852}, {""type"": ""mouseDown"", ""time"": 1385}, {""type"": ""mouseUp"", ""time"": 1439}, {""type"": ""mouseDown"", ""time"": 2043}, {""type"": ""mouseUp"", ""time"": 2102}, {""type"": ""mouseDown"", ""time"": 2605}, {""type"": ""mouseUp"", ""time"": 2663}, {""type"": ""mouseDown"", ""time"": 3313}, {""type"": ""mouseUp"", ""time"": 3384}, {""type"": ""mouseDown"", ""time"": 4231}, {""type"": ""mouseUp"", ""time"": 4282}, {""type"": ""mouseDown"", ""time"": 4781}, {""type"": ""mouseUp"", ""time"": 4831}], [{""type"": ""mouseDown"", ""time"": 1015}, {""type"": ""mouseUp"", ""time"": 1087}, {""type"": ""mouseDown"", ""time"": 1534}, {""type"": ""mouseUp"", ""time"": 1587}, {""type"": ""mouseDown"", ""time"": 2126}, {""type"": ""mouseUp"", ""time"": 2186}, {""type"": ""mouseDown"", ""time"": 3343}, {""type"": ""mouseUp"", ""time"": 3405}, {""type"": ""mouseDown"", ""time"": 3818}, {""type"": ""mouseUp"", ""time"": 3862}, {""type"": ""mouseDown"", ""time"": 4301}, {""type"": ""mouseUp"", ""time"": 4349}, {""type"": ""mouseDown"", ""time"": 4823}, {""type"": ""mouseUp"", ""time"": 4869}, {""type"": ""mouseDown"", ""time"": 5363}, {""type"": ""mouseUp"", ""time"": 5407}], [{""type"": ""mouseDown"", ""time"": 749}, {""type"": ""mouseUp"", ""time"": 819}, {""type"": ""mouseDown"", ""time"": 1458}, {""type"": ""mouseUp"", ""time"": 1539}, {""type"": ""mouseDown"", ""time"": 2207}, {""type"": ""mouseUp"", ""time"": 2380}, {""type"": ""mouseDown"", ""time"": 2972}, {""type"": ""mouseUp"", ""time"": 3036}, {""type"": ""mouseDown"", ""time"": 3647}, {""type"": ""mouseUp"", ""time"": 3702}, {""type"": ""mouseDown"", ""time"": 4466}, {""type"": ""mouseUp"", ""time"": 4520}, {""type"": ""mouseDown"", ""time"": 5008}, {""type"": ""mouseUp"", ""time"": 5040}, {""type"": ""mouseDown"", ""time"": 5516}, {""type"": ""mouseUp"", ""time"": 5576}, {""type"": ""mouseDown"", ""time"": 5949}, {""type"": ""mouseUp"", ""time"": 6004}], [{""type"": ""mouseDown"", ""time"": 405}, {""type"": ""mouseUp"", ""time"": 487}, {""type"": ""mouseDown"", ""time"": 1192}, {""type"": ""mouseUp"", ""time"": 1270}], [{""type"": ""mouseDown"", ""time"": 2718}, {""type"": ""mouseUp"", ""time"": 2780}, {""type"": ""mouseDown"", ""time"": 3492}, {""type"": ""mouseUp"", ""time"": 3544}, {""type"": ""mouseDown"", ""time"": 3998}, {""type"": ""mouseUp"", ""time"": 4052}, {""type"": ""mouseDown"", ""time"": 4961}, {""type"": ""mouseUp"", ""time"": 5026}, {""type"": ""mouseDown"", ""time"": 5643}, {""type"": ""mouseUp"", ""time"": 5712}, {""type"": ""mouseDown"", ""time"": 6160}, {""type"": ""mouseUp"", ""time"": 6218}, {""type"": ""mouseDown"", ""time"": 6750}, {""type"": ""mouseUp"", ""time"": 6823}], [{""type"": ""mouseDown"", ""time"": 1792}, {""type"": ""mouseUp"", ""time"": 1879}, {""type"": ""mouseDown"", ""time"": 2356}, {""type"": ""mouseUp"", ""time"": 2450}, {""type"": ""mouseDown"", ""time"": 2862}, {""type"": ""mouseUp"", ""time"": 2920}, {""type"": ""mouseDown"", ""time"": 3430}, {""type"": ""mouseUp"", ""time"": 3491}, {""type"": ""mouseDown"", ""time"": 3990}, {""type"": ""mouseUp"", ""time"": 4047}, {""type"": ""mouseDown"", ""time"": 5964}, {""type"": ""mouseUp"", ""time"": 6014}]]",31.0,31.0,"[1664547852593, 1664547859004, 1664547862274, 1664547865846, 1664547868692, 1664547871271, 1664547874333, 1664547877252, 1664547879689, 1664547882371, 1664547884546, 1664547887145, 1664547889651, 1664547893197, 1664547897682, 1664547901159, 1664547904641, 1664547907030, 1664547909198, 1664547911753, 1664547913945, 1664547916854, 1664547918940, 1664547921122, 1664547923167, 1664547929314, 1664547932317, 1664547935409, 1664547938253, 1664547940025, 1664547941844]",Keyboard and touchpad,28 - 37,Woman,Undergraduate degree,"£10,000 - £19,999",Few times a day,3.0,Salad,"Yes, I've done studies where I've completed a task and answered questions. However, this is one is unique - I've not done a study about looking at websites and then answering questions.",,30.0,2s
1,4,,completed,True,2022-09-30 14:22:50,,desktop,OS X,Safari,GB,16.0,98.1%,100.0%,0.0%,7.0,"[[{""type"": ""mouseDown"", ""time"": 1357}, {""type"": ""mouseUp"", ""time"": 1420}, {""type"": ""mouseDown"", ""time"": 1900}, {""type"": ""mouseUp"", ""time"": 1956}], [{""type"": ""mouseDown"", ""time"": 843}, {""type"": ""mouseUp"", ""time"": 914}, {""type"": ""mouseDown"", ""time"": 1403}, {""type"": ""mouseUp"", ""time"": 1483}, {""type"": ""mouseDown"", ""time"": 1963}, {""type"": ""mouseUp"", ""time"": 2026}], [{""type"": ""mouseDown"", ""time"": 854}, {""type"": ""mouseUp"", ""time"": 892}, {""type"": ""mouseDown"", ""time"": 1245}, {""type"": ""mouseUp"", ""time"": 1308}, {""type"": ""mouseDown"", ""time"": 1565}, {""type"": ""mouseUp"", ""time"": 1621}, {""type"": ""mouseDown"", ""time"": 1941}, {""type"": ""mouseUp"", ""time"": 1980}], [{""type"": ""mouseDown"", ""time"": 566}, {""type"": ""mouseUp"", ""time"": 654}, {""type"": ""mouseDown"", ""time"": 1046}, {""type"": ""mouseUp"", ""time"": 1117}, {""type"": ""mouseDown"", ""time"": 1390}, {""type"": ""mouseUp"", ""time"": 1453}, {""type"": ""mouseDown"", ""time"": 1734}, {""type"": ""mouseUp"", ""time"": 1789}, {""type"": ""mouseDown"", ""time"": 2022}, {""type"": ""mouseUp"", ""time"": 2085}], [{""type"": ""mouseDown"", ""time"": 1016}, {""type"": ""mouseUp"", ""time"": 1063}, {""type"": ""mouseDown"", ""time"": 1496}, {""type"": ""mouseUp"", ""time"": 1559}, {""type"": ""mouseDown"", ""time"": 1847}, {""type"": ""mouseUp"", ""time"": 1888}], [{""type"": ""mouseDown"", ""time"": 543}, {""type"": ""mouseUp"", ""time"": 622}, {""type"": ""mouseDown"", ""time"": 895}, {""type"": ""mouseUp"", ""time"": 983}, {""type"": ""mouseDown"", ""time"": 1342}, {""type"": ""mouseUp"", ""time"": 1398}], [{""type"": ""mouseDown"", ""time"": 538}, {""type"": ""mouseUp"", ""time"": 601}, {""type"": ""mouseDown"", ""time"": 977}, {""type"": ""mouseUp"", ""time"": 1050}, {""type"": ""mouseDown"", ""time"": 1434}, {""type"": ""mouseUp"", ""time"": 1481}, {""type"": ""mouseDown"", ""time"": 1834}, {""type"": ""mouseUp"", ""time"": 1906}, {""type"": ""mouseDown"", ""time"": 2081}, {""type"": ""mouseUp"", ""time"": 2145}, {""type"": ""mouseDown"", ""time"": 2369}, {""type"": ""mouseUp"", ""time"": 2441}], [{""type"": ""mouseDown"", ""time"": 589}, {""type"": ""mouseUp"", ""time"": 659}, {""type"": ""mouseDown"", ""time"": 1125}, {""type"": ""mouseUp"", ""time"": 1179}, {""type"": ""mouseDown"", ""time"": 1444}, {""type"": ""mouseUp"", ""time"": 1516}, {""type"": ""mouseDown"", ""time"": 1860}, {""type"": ""mouseUp"", ""time"": 1923}, {""type"": ""mouseDown"", ""time"": 2757}, {""type"": ""mouseUp"", ""time"": 2820}, {""type"": ""mouseDown"", ""time"": 3221}, {""type"": ""mouseUp"", ""time"": 3285}, {""type"": ""mouseDown"", ""time"": 3669}, {""type"": ""mouseUp"", ""time"": 3708}], [{""type"": ""mouseDown"", ""time"": 541}, {""type"": ""mouseUp"", ""time"": 628}, {""type"": ""mouseDown"", ""time"": 1174}, {""type"": ""mouseUp"", ""time"": 1261}, {""type"": ""mouseDown"", ""time"": 1556}, {""type"": ""mouseUp"", ""time"": 1645}]]",21.0,20.0,"[1664547917196, 1664547931287, 1664547938088, 1664547941957, 1664547945960, 1664547951004, 1664547955117, 1664547959720, 1664547964100, 1664547967687, 1664547971282, 1664547974839, 1664547978382, 1664547983693, 1664547987250, 1664547991600, 1664547995935, 1664548000209, 1664548004013, 1664548007782, 1664548011756]",Keyboard and regular desktop mouse,38 - 47,Man,Graduate degree,"£30,000 - £39,999",Most of the day,5.0,Salad,,,30.0,2s
2,5,,completed,True,2022-09-30 14:26:56,,desktop,Windows,Chrome,GB,23.0,100.0%,100.0%,0.0%,5.0,"[[{""type"": ""mouseDown"", ""time"": 918}, {""type"": ""mouseUp"", ""time"": 1023}, {""type"": ""mouseDown"", ""time"": 1286}, {""type"": ""mouseUp"", ""time"": 1401}], [{""type"": ""mouseDown"", ""time"": 76}, {""type"": ""mouseUp"", ""time"": 185}, {""type"": ""mouseDown"", ""time"": 389}, {""type"": ""mouseUp"", ""time"": 491}, {""type"": ""mouseDown"", ""time"": 793}, {""type"": ""mouseUp"", ""time"": 920}, {""type"": ""mouseDown"", ""time"": 5874}, {""type"": ""mouseUp"", ""time"": 5968}, {""type"": ""mouseDown"", ""time"": 6211}], [{""type"": ""mouseUp"", ""time"": 52}, {""type"": ""mouseDown"", ""time"": 360}, {""type"": ""mouseUp"", ""time"": 501}], [{""type"": ""mouseDown"", ""time"": 826}, {""type"": ""mouseUp"", ""time"": 924}, {""type"": ""mouseDown"", ""time"": 1296}, {""type"": ""mouseUp"", ""time"": 1406}, {""type"": ""mouseDown"", ""time"": 1715}, {""type"": ""mouseUp"", ""time"": 1827}, {""type"": ""mouseDown"", ""time"": 2171}, {""type"": ""mouseUp"", ""time"": 2304}], [{""type"": ""mouseDown"", ""time"": 586}, {""type"": ""mouseUp"", ""time"": 702}, {""type"": ""mouseDown"", ""time"": 1089}, {""type"": ""mouseUp"", ""time"": 1227}], [{""type"": ""mouseDown"", ""time"": 318}, {""type"": ""mouseUp"", ""time"": 424}, {""type"": ""mouseDown"", ""time"": 940}, {""type"": ""mouseUp"", ""time"": 1061}, {""type"": ""mouseDown"", ""time"": 1604}, {""type"": ""mouseUp"", ""time"": 1708}, {""type"": ""mouseDown"", ""time"": 2178}, {""type"": ""mouseUp"", ""time"": 2287}, {""type"": ""mouseDown"", ""time"": 2725}, {""type"": ""mouseUp"", ""time"": 2853}], [{""type"": ""mouseUp"", ""time"": 1787}, {""type"": ""mouseDown"", ""time"": 1992}, {""type"": ""mouseUp"", ""time"": 2068}, {""type"": ""mouseDown"", ""time"": 2569}, {""type"": ""mouseUp"", ""time"": 2689}, {""type"": ""mouseDown"", ""time"": 3126}, {""type"": ""mouseUp"", ""time"": 3222}, {""type"": ""mouseDown"", ""time"": 3696}, {""type"": ""mouseUp"", ""time"": 3790}, {""type"": ""mouseDown"", ""time"": 4314}, {""type"": ""mouseUp"", ""time"": 4472}]]",31.0,28.0,"[1664548217435, 1664548223218, 1664548226666, 1664548230498, 1664548232948, 1664548235897, 1664548239907, 1664548243597, 1664548245830, 1664548249046, 1664548251513, 1664548253162, 1664548255678, 1664548260207, 1664548263644, 1664548266164, 1664548268178, 1664548270693, 1664548273842, 1664548277884, 1664548279517, 1664548282040, 1664548284133, 1664548286078, 1664548287933, 1664548292671, 1664548297488, 1664548299914, 1664548303087, 1664548304647, 1664548306463]",Keyboard and regular desktop mouse,48 - 57,Man,Technical/community college,"£20,000 - £29,999",Few times a day,5.0,Salad,yes but not the same,no thanks,30.0,2s
3,6,,abandoned,False,2022-10-06 12:38:02,,desktop,OS X,Chrome,SK,1.0,7.6%,0.0%,0.0%,,,,,,,,,,,,,,,,,2s
4,7,,completed,True,2022-10-06 12:51:06,,desktop,OS X,Chrome,GB,41.0,99.0%,100.0%,0.0%,8.0,"[[{""type"": ""mouseDown"", ""time"": 942}, {""type"": ""mouseUp"", ""time"": 1030}, {""type"": ""mouseDown"", ""time"": 1481}, {""type"": ""mouseUp"", ""time"": 1569}], [{""type"": ""mouseDown"", ""time"": 531}, {""type"": ""mouseUp"", ""time"": 652}, {""type"": ""mouseDown"", ""time"": 1022}, {""type"": ""mouseUp"", ""time"": 1112}, {""type"": ""mouseDown"", ""time"": 1579}, {""type"": ""mouseUp"", ""time"": 1682}], [{""type"": ""mouseDown"", ""time"": 438}, {""type"": ""mouseUp"", ""time"": 545}, {""type"": ""mouseDown"", ""time"": 945}, {""type"": ""mouseUp"", ""time"": 1050}, {""type"": ""mouseDown"", ""time"": 1434}, {""type"": ""mouseUp"", ""time"": 1505}, {""type"": ""mouseDown"", ""time"": 1921}, {""type"": ""mouseUp"", ""time"": 1994}], [{""type"": ""mouseDown"", ""time"": 445}, {""type"": ""mouseUp"", ""time"": 567}, {""type"": ""mouseDown"", ""time"": 1267}, {""type"": ""mouseUp"", ""time"": 1337}, {""type"": ""mouseDown"", ""time"": 1993}, {""type"": ""mouseUp"", ""time"": 2082}, {""type"": ""mouseDown"", ""time"": 2498}, {""type"": ""mouseUp"", ""time"": 2603}, {""type"": ""mouseDown"", ""time"": 3037}, {""type"": ""mouseUp"", ""time"": 3104}], [{""type"": ""mouseDown"", ""time"": 396}, {""type"": ""mouseUp"", ""time"": 501}, {""type"": ""mouseDown"", ""time"": 884}, {""type"": ""mouseUp"", ""time"": 988}, {""type"": ""mouseDown"", ""time"": 1372}, {""type"": ""mouseUp"", ""time"": 1477}, {""type"": ""mouseDown"", ""time"": 1828}, {""type"": ""mouseUp"", ""time"": 1929}, {""type"": ""mouseDown"", ""time"": 2496}, {""type"": ""mouseUp"", ""time"": 2569}, {""type"": ""mouseDown"", ""time"": 2967}, {""type"": ""mouseUp"", ""time"": 3052}], [{""type"": ""mouseDown"", ""time"": 487}, {""type"": ""mouseUp"", ""time"": 593}, {""type"": ""mouseDown"", ""time"": 976}, {""type"": ""mouseUp"", ""time"": 1078}, {""type"": ""mouseDown"", ""time"": 1993}, {""type"": ""mouseUp"", ""time"": 2066}, {""type"": ""mouseDown"", ""time"": 2519}, {""type"": ""mouseUp"", ""time"": 2640}, {""type"": ""mouseDown"", ""time"": 3174}, {""type"": ""mouseUp"", ""time"": 3259}, {""type"": ""mouseDown"", ""time"": 3843}, {""type"": ""mouseUp"", ""time"": 3948}, {""type"": ""mouseDown"", ""time"": 4348}, {""type"": ""mouseUp"", ""time"": 4419}], [{""type"": ""mouseDown"", ""time"": 1280}, {""type"": ""mouseUp"", ""time"": 1385}, {""type"": ""mouseDown"", ""time"": 2476}, {""type"": ""mouseUp"", ""time"": 2581}, {""type"": ""mouseDown"", ""time"": 3901}, {""type"": ""mouseUp"", ""time"": 4005}, {""type"": ""mouseDown"", ""time"": 4491}, {""type"": ""mouseUp"", ""time"": 4607}], [{""type"": ""mouseDown"", ""time"": 935}, {""type"": ""mouseUp"", ""time"": 1054}, {""type"": ""mouseDown"", ""time"": 1988}, {""type"": ""mouseUp"", ""time"": 2074}, {""type"": ""mouseDown"", ""time"": 2859}, {""type"": ""mouseUp"", ""time"": 2963}, {""type"": ""mouseDown"", ""time"": 3697}, {""type"": ""mouseUp"", ""time"": 3802}, {""type"": ""mouseDown"", ""time"": 4853}, {""type"": ""mouseUp"", ""time"": 4963}, {""type"": ""mouseDown"", ""time"": 5630}, {""type"": ""mouseUp"", ""time"": 5718}, {""type"": ""mouseDown"", ""time"": 6370}, {""type"": ""mouseUp"", ""time"": 6440}, {""type"": ""mouseDown"", ""time"": 8022}, {""type"": ""mouseUp"", ""time"": 8097}], [{""type"": ""mouseDown"", ""time"": 526}, {""type"": ""mouseUp"", ""time"": 648}], [{""type"": ""mouseDown"", ""time"": 868}, {""type"": ""mouseUp"", ""time"": 988}, {""type"": ""mouseDown"", ""time"": 1539}, {""type"": ""mouseUp"", ""time"": 1672}, {""type"": ""mouseDown"", ""time"": 2206}, {""type"": ""mouseUp"", ""time"": 2296}, {""type"": ""mouseDown"", ""time"": 2891}, {""type"": ""mouseUp"", ""time"": 2978}, {""type"": ""mouseDown"", ""time"": 3612}, {""type"": ""mouseUp"", ""time"": 3718}, {""type"": ""mouseDown"", ""time"": 4234}, {""type"": ""mouseUp"", ""time"": 4338}, {""type"": ""mouseDown"", ""time"": 5243}, {""type"": ""mouseUp"", ""time"": 5332}]]",35.0,35.0,"[1665060821861, 1665060827258, 1665060830222, 1665060833139, 1665060835193, 1665060837755, 1665060839897, 1665060842307, 1665060844623, 1665060846622, 1665060848940, 1665060851473, 1665060853561, 1665060856940, 1665060859183, 1665060861257, 1665060864008, 1665060866071, 1665060868644, 1665060871361, 1665060874038, 1665060877371, 1665060879547, 1665060881378, 1665060883909, 1665060888011, 1665060891273, 1665060893924, 1665060896160, 1665060898307, 1665060900524, 1665060903623, 1665060905844, 1665060908328, 1665060910222, 1665060912719]",Keyboard and touchpad,18 - 27,Woman,Technical/community college,"£10,000 - £19,999",Most of the day,4.0,Salad,I don't think so.,,30.0,2s
5,8,,completed,True,2022-10-06 12:57:21,,desktop,Windows,Chrome,GB,14.0,100.0%,100.0%,0.0%,7.0,"[[{""type"": ""mouseDown"", ""time"": 772}, {""type"": ""mouseUp"", ""time"": 863}, {""type"": ""mouseDown"", ""time"": 1430}, {""type"": ""mouseUp"", ""time"": 1563}], [{""type"": ""mouseDown"", ""time"": 119}, {""type"": ""mouseUp"", ""time"": 241}, {""type"": ""mouseDown"", ""time"": 942}, {""type"": ""mouseUp"", ""time"": 1044}, {""type"": ""mouseDown"", ""time"": 1477}, {""type"": ""mouseUp"", ""time"": 1569}], [{""type"": ""mouseDown"", ""time"": 451}, {""type"": ""mouseUp"", ""time"": 542}, {""type"": ""mouseDown"", ""time"": 1368}, {""type"": ""mouseUp"", ""time"": 1478}, {""type"": ""mouseDown"", ""time"": 2520}, {""type"": ""mouseUp"", ""time"": 2621}, {""type"": ""mouseDown"", ""time"": 3074}, {""type"": ""mouseUp"", ""time"": 3188}], [{""type"": ""mouseDown"", ""time"": 533}, {""type"": ""mouseUp"", ""time"": 645}, {""type"": ""mouseDown"", ""time"": 1223}, {""type"": ""mouseUp"", ""time"": 1346}, {""type"": ""mouseDown"", ""time"": 1850}, {""type"": ""mouseUp"", ""time"": 1993}, {""type"": ""mouseDown"", ""time"": 2457}, {""type"": ""mouseUp"", ""time"": 2580}, {""type"": ""mouseDown"", ""time"": 3136}, {""type"": ""mouseDown"", ""time"": 4084}, {""type"": ""mouseUp"", ""time"": 4175}], [{""type"": ""mouseDown"", ""time"": 771}, {""type"": ""mouseUp"", ""time"": 853}, {""type"": ""mouseDown"", ""time"": 1327}, {""type"": ""mouseUp"", ""time"": 1460}, {""type"": ""mouseDown"", ""time"": 2335}, {""type"": ""mouseUp"", ""time"": 2427}, {""type"": ""mouseDown"", ""time"": 2922}, {""type"": ""mouseUp"", ""time"": 3035}, {""type"": ""mouseDown"", ""time"": 3529}, {""type"": ""mouseUp"", ""time"": 3641}, {""type"": ""mouseDown"", ""time"": 4322}, {""type"": ""mouseUp"", ""time"": 4444}], [{""type"": ""mouseDown"", ""time"": 874}, {""type"": ""mouseUp"", ""time"": 1011}, {""type"": ""mouseDown"", ""time"": 1893}, {""type"": ""mouseUp"", ""time"": 2036}, {""type"": ""mouseDown"", ""time"": 2748}, {""type"": ""mouseUp"", ""time"": 2859}, {""type"": ""mouseDown"", ""time"": 3405}, {""type"": ""mouseUp"", ""time"": 3528}, {""type"": ""mouseDown"", ""time"": 4115}, {""type"": ""mouseUp"", ""time"": 4249}, {""type"": ""mouseDown"", ""time"": 4806}, {""type"": ""mouseUp"", ""time"": 4918}], [{""type"": ""mouseDown"", ""time"": 881}, {""type"": ""mouseUp"", ""time"": 1024}, {""type"": ""mouseDown"", ""time"": 1746}, {""type"": ""mouseUp"", ""time"": 1869}, {""type"": ""mouseDown"", ""time"": 2547}, {""type"": ""mouseUp"", ""time"": 2671}, {""type"": ""mouseDown"", ""time"": 3166}, {""type"": ""mouseUp"", ""time"": 3288}, {""type"": ""mouseDown"", ""time"": 4019}, {""type"": ""mouseUp"", ""time"": 4133}, {""type"": ""mouseDown"", ""time"": 5089}, {""type"": ""mouseUp"", ""time"": 5233}], [{""type"": ""mouseDown"", ""time"": 798}, {""type"": ""mouseUp"", ""time"": 910}, {""type"": ""mouseDown"", ""time"": 1364}, {""type"": ""mouseUp"", ""time"": 1476}, {""type"": ""mouseDown"", ""time"": 1961}, {""type"": ""mouseUp"", ""time"": 2083}, {""type"": ""mouseDown"", ""time"": 2454}, {""type"": ""mouseUp"", ""time"": 2587}, {""type"": ""mouseDown"", ""time"": 3802}, {""type"": ""mouseUp"", ""time"": 3945}, {""type"": ""mouseDown"", ""time"": 4759}, {""type"": ""mouseUp"", ""time"": 4872}, {""type"": ""mouseDown"", ""time"": 5314}, {""type"": ""mouseUp"", ""time"": 5447}], [{""type"": ""mouseDown"", ""time"": 648}, {""type"": ""mouseUp"", ""time"": 761}, {""type"": ""mouseDown"", ""time"": 1265}, {""type"": ""mouseUp"", ""time"": 1388}]]",37.0,33.0,"[1665061118150, 1665061127625, 1665061129632, 1665061132128, 1665061134720, 1665061136971, 1665061139106, 1665061141533, 1665061143345, 1665061145979, 1665061147742, 1665061149420, 1665061151354, 1665061154261, 1665061157108, 1665061159806, 1665061161501, 1665061163528, 1665061165347, 1665061168919, 1665061171342, 1665061173933, 1665061175987, 1665061178376, 1665061180005, 1665061183790, 1665061187247, 1665061190457, 1665061192351, 1665061193973, 1665061195765, 1665061198482, 1665061201444, 1665061203127, 1665061204727, 1665061207572, 1665061210489]",Keyboard and touchpad,28 - 37,Woman,Undergraduate degree,"£0 - £10,000",Most of the day,3.0,Salad,No,No,30.0,2s
